Key,Type,Desc,English,Spanish,Thailand,Indo
BUY WLD NOW,Text,,BUY WLD NOW,ACHETEZ WLD MAINTENANT,ซื้อ WLD เลยตอนนี้,BELI WLD SEKARANG
History,Text,,History	,Histoire,ประวัติศาสตร์,Sejarah
Opps! just 0.1 wld to skip the level,Text,,"Opps!
just 0.1 wld to skip the level","Oups !
Juste 0,1 WLD pour passer le niveau.","อุ๊ปส์!
แค่ 0.1 WLD เพื่อข้ามด่าน","Oops! 
Hanya 0,1 WLD untuk melewati level."
SF-Pro-Rounded-Bold SDF,TextMeshPFont,,,,,
balance_title,Text,,Total Balance,Saldo total,ยอดรวมทั้งหมด,Total Saldo
battle_mode,Text,,Battle Mode,Modo de batalla,โหมดต่อสู้,Mode Pertempuran
battle_text,Text,,PICK YOUR STAKE AND FIND AN OPPONENT,CHOISISSEZ VOTRE ENJEU ET TROUVEZ UN ADVERSAIRE,เลือกเดิมพันของคุณและค้นหาคู่ต่อสู้,PILIH TARUHAN ANDA DAN TEMUKAN LAWAN
buy_extra_title,Text,,Buy extra survival chance,Comprar oportunidad extra de supervivencia,ซื้อโอกาสรอดชีวิตเพิ่มเติม,Beli kesempatan bertahan tambahan
buy_now_text,Text,,Buy Now,Comprar ahora,ซื้อทันที,Beli Sekarang
claim_button,Text,,Claim,Reclamar,รับของรางวัล,Klaim
coming_soon_title,Text,,Coming Soon!,¡Próximamente!,เร็วๆ นี้!,Segera Hadir!
complete_text,Text,,Completed,Completado,เสร็จสิ้น,Selesai
continue_button,Text,,Continue,Continuar,ดำเนินการต่อ,Lanjutkan
daily_title,Text,,Daily Reward,Recompensa diaria,รางวัลประจำวัน,Hadiah Harian
day_text,Text,,Day,Día,วันที่,Hari ke-
defeated_title,Text,,Defeated,Derrotado,พ่ายแพ้,Kalah
exit_button,Text,,Exit,Salir,ออกจากเกม,Keluar
extra_claim_amount,Text,,Extra Claimable Amount,Cantidad extra reclamable,จำนวนที่สามารถรับเพิ่มได้,Jumlah Tambahan yang Bisa Diklaim
get_button,Text,,Get,Obtener,รับ,Ambil
home_title,Text,,Home,Inicio,หน้าแรก,Beranda
language_title,Text,,Language,Idioma,ภาษา,Bahasa
level_name,Text,,Level,Nivel,ด่าน,Level
loading_text,Text,,Loading....,Cargando....,กำลังโหลด....,Memuat....
music_title,Text,,Music,Música,ดนตรี,Musik
next_reward_title,Text,,Next reward,Próxima recompensa,รางวัลถัดไป,Hadiah berikutnya
opponent_text,Text,,Opponent,Oponente,คู่ต่อสู้,Lawan
play_button,Text,,Play,Jugar,เล่น,Main
pvp_first,Text,,Join Battle to Get WLD,Entra en Batalla y Gana WLD,เข้าร่วมการต่อสู้เพื่อรับ WLD,"Gabung Battle, Dapatkan WLD"
ranking_title,Text,,Ranking,Clasificación,อันดับ,Peringkat
ready_title,Text,,Ready,Listo,พร้อม,Siap
retry_button,Text,,Retry,Reintentar,ลองอีกครั้ง,Coba Lagi
reward_message,Text,,You received a gift!,¡Has recibido un regalo!,คุณได้รับของขวัญ!,Kamu menerima hadiah!
score_text,Text,,Score,Puntuación,คะแนน,Skor
setting_title,Text,,Setting,Configuración,การตั้งค่า,Pengaturan
skip_button,Text,,Skip,Omitir,ข้าม,Lewati
sound_title,Text,,Sound,Sonido,เสียงเอฟเฟกต์,Suara
tap_to_start_title,Text,,Tap To Start,Empieza Ahora,แตะเพื่อเริ่ม,Mulai Sekarang
top_player_text,Text,,Top Player,Mejor jugador,ผู้เล่นอันดับสูงสุด,Pemain Terbaik
unlock_text,Text,,Unlock,Desbloquear,ปลดล็อก,Buka Kunci
victory_title,Text,,Victory,Victoria,ชัยชนะ,Kemenangan
your_reward_title,Text,,Your Reward,Tu recompensa,รางวัลของคุณ,Hadiahmu
